Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Lat,Long
Congo,Africa,5530506,3546,,58,,1589,,1899,,641,10,,,Africa,-0.228,15.8277
Costa Rica,North America,5098730,21070,,200,,7038,,13832,103,4132,39,96110,18850,Americas,9.7489,-83.7534
Croatia,Europe,4102577,5404,,155,,4688,,561,7,1317,38,125317,30546,Europe,45.1,15.2
Cuba,North America,11325899,2775,,88,,2409,,278,4,245,8,285471,25205,Americas,21.521757,-77.781167
Cyprus,Asia,1208238,1208,,19,,856,,333,,1000,16,216597,179267,Europe,35.1264,33.4299
Czechia,Europe,10711019,17731,,390,,12320,,5021,17,1655,36,728670,68030,Europe,49.8175,15.473
Denmark,Europe,5794279,14306,,617,,12787,,902,2,2469,106,1654512,285542,Europe,61.8926,-6.9118
Dominica,North America,72004,18,,,,18,,0,,250,,1005,13958,Americas,15.414999,-61.370976
Dominican Republic,North America,10858648,76536,,1246,,40539,,34751,317,7048,115,281926,25963,Americas,18.735693,-70.162651
Ecuador,South America,17668824,90537,,5877,,71318,,13342,378,5124,333,258582,14635,Americas,-1.831239,-78.183406
Egypt,Africa,102516525,95006,,4951,,48898,,41157,41,927,48,135000,1317,EasternMediterranean,26.820553,30.802498
El Salvador,North America,6489514,19126,,513,,9236,,9377,509,2947,79,251271,38720,Americas,13.794185,-88.89653
Equatorial Guinea,Africa,1407001,4821,,83,,2182,,2556,,3426,59,44356,31525,Africa,1.650801,10.267895
Eritrea,Africa,3551175,282,,,,225,,57,,79,,,,Africa,15.179384,39.782334
Estonia,Europe,1326627,2124,,63,,1954,,107,,1601,47,122880,92626,Europe,58.595272,25.013607
Ethiopia,Africa,115223736,20900,,365,,9027,,11508,185,181,3,468814,4069,Africa,9.145,40.489673
Faeroe Islands,Europe,48882,266,,,,192,,74,1,5442,,43045,880590,,61.892635,-6.911806
Falkland Islands,South America,3489,13,,,,13,,0,,3726,,1816,520493,,-51.796253,-59.523613
Fiji,Australia/Oceania,897095,27,,1,,18,,8,,30,1,6693,7461,WesternPacific,-16.578193,179.414413
Finland,Europe,5541604,7532,,331,,6980,,221,,1359,60,389500,70287,Europe,61.92411,25.748151
France,Europe,65288306,195633,,30312,,82460,,82861,384,2996,464,3992206,61147,Europe,46.227638,2.213749
French Guiana,South America,299385,8127,,47,,7240,,840,23,27146,157,41412,138324,,3.933889,-53.125782
French Polynesia,Australia/Oceania,281072,64,,,,62,,2,,228,,5849,20810,,-17.679742,-149.406843
